source_id,ra,dec,phot_g_mean_mag,parallax,parallax_error,pf,type_best_classification,teff_val,radius_val
4103813802261866496,280.3440067478943,-13.841397211516908,9.726876,0.6082288920605674,0.0589040926979709,4.7107532912899135,DCEP,5079.25,21.654428
4103989346187406464,276.80604408455247,-15.11798851513998,10.142719,0.42894189521856124,0.053385417376640404,5.5469257166130985,DCEP,4104.0825,46.59957
261548119462093568,77.66762375227684,49.68760328366527,9.129906,0.3308474698292591,0.04334644680340923,8.002633428406538,DCEP,4426.0,76.18865
279382060625871360,76.63187927399555,55.35351533566376,7.150807,1.2717543916526453,0.034650335946523655,3.2948670772898594,DCEP,4714.45,41.199432
5506374096132016512,114.57584339112036,-48.60141031375887,5.445048,1.2609953624454222,0.0642818738097271,5.6929616525813325,DCEP,5790.3335,55.370476
422923956470923008,3.790869381348062,58.424280760297385,9.561291,0.398569710771692,0.03009243786317017,4.071170351267611,DCEP,4781.115,41.703396
422226488141991296,3.6176566291955257,56.252930634475454,8.778798,0.3586211710624568,0.03254852444950397,5.809011986861927,DCEP,4751.7466,67.56973
1977074811892425600,332.2620623073768,51.04584529327956,9.076013,0.4034120537315498,0.03423173970655701,4.323552929596679,DCEP,5142.423,42.73276
270272675510149504,64.94524473078123,48.95326133415135,9.259183,0.5205067687034225,0.03763391033154075,4.972485219015282,DCEP,3929.0,66.53106
2016581673416790656,350.61846425648156,62.757142908490565,10.328962,0.27083803027782066,0.02840210470634491,15.093433681248735,DCEP,4105.8096,67.64388
1819110725094459520,309.719528425627,23.258683907633877,8.421733,0.54013415813861,0.059400863646456484,13.239807853949264,DCEP,3957.1533,92.0674
6892189613948034048,319.2099622643206,-10.98108027234252,10.27829,0.36976563700754767,0.045105100380915766,,DCEP,3948.72,57.605133
429385923752386944,0.24679854908188031,60.95900195774089,10.977478,0.22362748312483108,0.029940384565914906,4.3651587112525485,DCEP,4217.0,55.7975
3031875585286182144,110.50990483375261,-14.318180199992096,9.284745,0.2757044683974183,0.048918175607860034,6.994834623989803,DCEP,4577.5,77.219
4190143160245024256,298.0874964812166,-11.366922810433207,7.56483,0.7379994619311848,0.05214442751533985,5.37667953468206,DCEP,5010.5024,49.98441
5235910694044165760,176.13693705863074,-67.30525032833556,8.804099,0.680674733285706,0.03156464004859461,3.0861326636403175,DCEP,4917.0,32.14115
5871738271033526016,207.68448927272104,-57.5805095848518,7.529758,0.8413111917747775,0.034035029366324646,5.07890284557598,DCEP,5066.0,43.34226
5871922507947292032,205.07765391533,-57.613183759606756,7.4777107,0.5373433768543271,0.042193894800667965,10.949466315389657,DCEP,5189.0,65.51716
5989694118953196288,237.01312669218913,-42.63556726192909,10.364471,0.9943150886661507,0.04600751476421539,9.073607003336463,T2CEP,4420.61,14.409518
1964855904803120640,319.8424256945761,38.237464568273076,5.7184625,1.1505517896475126,0.06634840475810791,3.3323345324660067,DCEP,6198.0,46.326805
2011892320749270912,359.5379132545387,61.21362528597152,10.636626,0.23298443737246227,0.030202513665836383,4.478610447904547,DCEP,4440.0,53.554134
4156450099578283776,279.5137735421426,-8.368946707636958,8.834605,0.4294020995930333,0.06675224632192242,5.739828546926293,DCEP,4073.525,87.123146
4156512638614879104,279.1650063859747,-8.184833499085794,9.641501,0.49685568325924206,0.05435804376687028,,DCEP,4151.8667,48.816746
5861920864802544768,194.97817015065897,-64.02527837795293,9.966408,0.33959023469384314,0.03151960823921211,307.5747767864042,T2CEP,5100.1,34.381954
2071433765909167232,308.22621086628885,46.60124952768671,9.01147,0.36157333860026625,0.02615599745704287,15.11945680862504,DCEP,3933.75,106.91805
506581226385580288,27.779246339028735,59.888214566459645,10.391729,0.33462905138754717,0.041980054194818456,6.206266813297572,DCEP,4231.0,48.329033
506779550797525760,31.952002059900057,58.44353369208628,8.858364,0.3298271302772772,0.030805724736590653,10.87726937843332,DCEP,4402.12,88.00803
2166861170366710272,313.73969906944154,47.53378999603876,10.37678,0.5276857528169653,0.028010269593178688,4.049212552691097,DCEP,4229.69,30.889269
2161786374436607616,315.02658111749054,42.597550467826615,8.525544,0.7807222618189602,0.03667465496363515,14.717966183376312,DCEP,4169.71,51.231873
2165771172070496512,317.7265364630614,49.14204191143559,10.016347,0.38679546617365057,0.027892048259939087,7.2513997849903,DCEP,3908.64,64.27378
5313887130948758016,142.92069155602877,-49.65498936098618,8.955448,0.3910591551357152,0.03246492724631151,11.200643437441062,DCEP,4061.8625,91.34313
5311598634949142400,139.31963283615903,-53.08484775665473,10.388215,0.20871987216166318,0.02460437064334701,,DCEP,4960.25,49.409138
5864955727424819200,203.49589961765273,-64.05556073677029,9.85363,0.21997034673126356,0.03137954499483389,15.044356043702246,DCEP,4475.9136,79.44862
5804085561048983552,259.6982278986501,-73.42031461413782,9.427516,4.278092082732217,0.026108183243518164,7.137521943040507,DCEP,5042.35,3.5988197
1869102495165230592,312.2851900150785,33.695825509606074,10.979815,0.24495761734336918,0.027040746604279357,58.02915693047971,T2CEP,3860.0,67.87955
1873112207907294848,316.06930269199154,39.972233741926736,9.22661,0.4463915894077523,0.028186967441822627,7.855820230171903,DCEP,4384.775,55.535275
1873250780732545920,314.3367803855074,40.17748705684335,9.450192,0.34953048727550506,0.027657529160700356,20.140340361006253,DCEP,3986.51,86.4351
4303770918113986304,299.3875936045827,11.043659752073646,9.7710495,0.3003508631296034,0.042532332232969566,6.17926003722313,DCEP,5020.45,44.24238
4303407323363992960,298.5132948899327,10.695976354900894,9.505887,2.402047113656431,0.04838019266452108,16.69085290741045,T2CEP,4848.897,6.837584
